delivery_person_id,first_name,last_name,phone,age,ratings,vehicle_type,vehicle_condition,status,current_latitude,current_longitude,total_deliveries,city
D00028,Wahab,Bassi,+912536667776,34,4.49,motorcycle,1,On Delivery,12.974967,77.6582,555,Bengaluru
D00029,Rishi,Prakash,+919578654362,35,4.05,motorcycle,2,On Delivery,12.872597,77.58544,3421,Bengaluru
D00030,Jonathan,Babu,+913358268627,20,3.57,scooter,1,On Delivery,12.986104,77.501485,715,Bengaluru
D00031,Pranav,Bir,+919326573275,39,4.29,bicycle,2,On Delivery,12.945045,77.682625,2582,Bengaluru
D00032,Orinder,Khosla,+911000515532,26,3.49,motorcycle,0,Available,12.985448,77.652278,1302,Bengaluru
D00033,Charles,Natarajan,+914182226189,33,4.04,motorcycle,2,On Delivery,13.002981,77.598865,2876,Bengaluru
D00034,Ekalinga,Basu,+911271026767,25,4.46,scooter,2,On Delivery,12.933299,77.691546,3360,Bengaluru
D00035,Patrick,Nigam,+917955151229,29,4.64,scooter,0,Available,13.020338,77.571096,3249,Bengaluru
D00036,Gagan,Shetty,+914159709962,31,5.0,electric_scooter,0,On Delivery,12.992885,77.699869,2141,Bengaluru
D00037,Wriddhish,Gopal,+914476504715,37,4.55,motorcycle,2,Available,12.934784,77.640733,2359,Bengaluru
D00038,Ekansh,Bhatnagar,+917660465586,33,4.32,scooter,0,Offline,12.927308,77.612486,2955,Bengaluru
D00039,Veer,Bansal,+911581021312,31,4.08,motorcycle,2,On Delivery,12.927795,77.674953,3200,Bengaluru
D00040,Manan,Jaggi,+910591297519,23,5.0,motorcycle,0,Available,12.926148,77.619286,3065,Bengaluru
D00041,Anthony,Iyengar,+913301658373,42,4.65,bicycle,2,On Delivery,12.899023,77.64763,1931,Bengaluru
D00042,Ansh,Mutti,+910728012342,37,4.49,scooter,0,On Delivery,12.849163,77.680672,2888,Bengaluru
D00043,Mohammed,Varma,+912694968436,28,3.53,electric_scooter,2,Available,12.954331,77.492482,38,Bengaluru
D00044,Rushil,Solanki,+914210175096,22,5.0,scooter,2,On Delivery,12.973722,77.720241,3058,Bengaluru
D00045,Jonathan,Bansal,+919194575757,29,4.61,scooter,1,On Delivery,12.988529,77.698026,3061,Bengaluru
D00046,Girish,Mangal,+915677567772,24,3.96,scooter,1,On Delivery,12.905724,77.596922,110,Bengaluru
D00047,Pranav,Batta,+915062292310,32,4.4,motorcycle,1,Available,12.942331,77.579058,98,Bengaluru
D00048,Noah,Mahajan,+918433797662,35,3.99,bicycle,0,Available,12.921289,77.538941,444,Bengaluru
D00049,David,Pillai,+918736704254,41,3.98,scooter,2,Available,12.929718,77.647141,540,Bengaluru
D00050,Tejas,Ratta,+912597107563,26,4.03,bicycle,2,Available,12.852676,77.69559,1290,Bengaluru
D00051,Thomas,Raju,+919532593993,27,4.35,motorcycle,1,Offline,12.97473,77.731801,1293,Bengaluru
D00052,Omkaar,Grover,+912951877941,34,3.58,motorcycle,0,On Delivery,12.876629,77.681966,1141,Bengaluru
D00053,Yuvraj,Tank,+910559782457,30,4.55,scooter,2,Available,12.882223,77.632811,3330,Bengaluru
D00054,Qarin,Venkataraman,+919140388436,33,4.34,scooter,0,Available,12.945628,77.729848,846,Bengaluru
D00055,Kiaan,Butala,+915727682975,23,3.88,bicycle,1,Available,12.922644,77.564953,2902,Bengaluru
D00056,Simon,Brar,+912501058752,30,3.79,electric_scooter,1,On Delivery,12.973733,77.606216,2585,Bengaluru
D00057,Tanveer,Gole,+910459908027,22,3.76,bicycle,0,Available,13.106353,77.592122,2151,Bengaluru
D00058,Manan,Nagi,+915551651768,21,5.0,motorcycle,2,On Delivery,12.925405,77.572601,2855,Bengaluru
D00059,Charan,Buch,+914330800370,21,4.28,motorcycle,0,Offline,12.932724,77.567379,573,Bengaluru
D00060,Nihal,Merchant,+916084706810,26,4.48,scooter,0,Available,12.854178,77.682101,2023,Bengaluru
D00061,Michael,Sehgal,+912632809448,31,4.64,motorcycle,0,On Delivery,12.929175,77.607725,3099,Bengaluru
D00062,Tanay,Ganesan,+914614707986,26,3.8,motorcycle,0,Available,12.965851,77.607531,447,Bengaluru
D00063,Tristan,Panchal,+914394570394,26,4.25,motorcycle,1,Available,12.888723,77.583823,3407,Bengaluru
D00064,Udant,Basak,+916576927789,29,3.39,scooter,2,Offline,12.922214,77.571454,1027,Bengaluru
D00065,Patrick,Saran,+910404769210,31,4.62,motorcycle,0,Offline,12.916255,77.654276,3048,Bengaluru
D00066,Laksh,Bhandari,+910401424731,40,3.64,scooter,2,On Delivery,12.986144,77.564399,1961,Bengaluru
D00067,Baljiwan,Ravi,+919844097123,22,4.3,motorcycle,1,Available,12.888374,77.566644,2047,Bengaluru
D00068,Qabil,Varghese,+910901447340,41,5.0,motorcycle,0,Available,13.113718,77.592797,1844,Bengaluru
D00069,Fariq,Balasubramanian,+918730451957,35,3.29,motorcycle,1,On Delivery,12.955033,77.606265,1530,Bengaluru
D00070,Ekbal,Sarma,+915629657542,41,3.82,scooter,1,On Delivery,12.873441,77.581428,1680,Bengaluru
D00071,Anay,Date,+915778205829,30,4.19,motorcycle,2,Available,13.021555,77.551158,3281,Bengaluru
D00072,Bahadurjit,Keer,+913616188081,38,4.47,motorcycle,2,On Delivery,12.972381,77.61365,684,Bengaluru
D00073,Qadim,Pathak,+915868639561,27,4.07,scooter,1,Available,12.860471,77.60399,2852,Bengaluru
D00074,Rehaan,Bali,+918172143643,37,4.41,scooter,0,Available,12.958833,77.485024,137,Bengaluru
D00075,Faraj,Sengupta,+914716560945,32,4.23,motorcycle,1,On Delivery,12.824743,77.664429,2425,Bengaluru
D00076,Qasim,Prabhu,+917075504768,44,4.01,motorcycle,2,On Delivery,12.931009,77.550533,1447,Bengaluru
D00077,Tristan,Bose,+911748113176,43,4.76,motorcycle,2,Offline,13.004612,77.675593,150,Bengaluru
D00078,Ekapad,Wagle,+917396102908,34,4.34,motorcycle,0,On Delivery,12.982593,77.567087,2865,Bengaluru
D00079,Qadim,Rao,+919187274204,39,4.11,motorcycle,0,On Delivery,12.982327,77.617999,3439,Bengaluru
D00080,Naksh,Mallick,+910626042359,35,4.07,motorcycle,1,On Delivery,12.899565,77.63835,485,Bengaluru
D00081,Jeet,Comar,+910775608581,33,4.88,motorcycle,1,On Delivery,12.956377,77.73518,2885,Bengaluru
D00082,Agastya,Grewal,+915768321021,38,4.11,motorcycle,0,On Delivery,13.083178,77.57979,2246,Bengaluru
D00083,Zaid,Vasa,+919618033242,43,4.92,scooter,0,Available,13.005395,77.566815,2099,Bengaluru
D00084,Rishi,Dalal,+919804253733,41,4.07,motorcycle,1,Available,12.91971,77.631136,716,Bengaluru
D00085,Karan,Lad,+912821781923,40,4.32,scooter,2,Available,12.944721,77.579881,933,Bengaluru
D00086,Udant,Kala,+910560356793,43,4.05,electric_scooter,1,On Delivery,12.921956,77.685495,3247,Bengaluru
D00087,Luke,Swaminathan,+919847169061,37,4.21,motorcycle,0,On Delivery,12.87695,77.692442,173,Bengaluru
D00088,Harish,Das,+915489547876,44,3.91,electric_scooter,2,On Delivery,12.994196,77.558933,2304,Bengaluru
D00089,Ekansh,Borah,+911758891444,29,3.7,scooter,0,Available,13.009208,77.70094,1337,Bengaluru
D00090,Upkaar,Gera,+914358644963,44,3.95,scooter,0,On Delivery,12.961741,77.691341,2829,Bengaluru
D00091,Tristan,Chahal,+913798214339,45,4.05,scooter,1,Available,12.827499,77.684439,2662,Bengaluru
D00092,Nathaniel,Palan,+914978524914,23,3.58,bicycle,2,Offline,12.9206,77.542465,23,Bengaluru
D00093,Bachittar,Mannan,+918948963406,40,4.7,bicycle,2,Available,12.899157,77.656265,1800,Bengaluru
D00094,Mason,Dugar,+911500141884,24,3.96,scooter,2,On Delivery,12.935126,77.560389,849,Bengaluru
D00095,Gagan,Pathak,+919446333999,44,4.65,motorcycle,2,Available,12.994052,77.643463,978,Bengaluru
D00096,Isaac,Dara,+913263890219,43,4.23,scooter,1,On Delivery,12.911718,77.587165,520,Bengaluru
D00097,Harish,Dewan,+912341034699,32,4.23,motorcycle,0,Available,12.959648,77.746156,345,Bengaluru
D00098,Jagat,Tak,+916960843768,30,4.88,motorcycle,1,On Delivery,13.108997,77.594001,1598,Bengaluru
D00099,Agastya,Patel,+916263355643,42,4.0,motorcycle,0,Available,13.040062,77.591918,1933,Bengaluru
D00100,Qarin,Sibal,+911706955607,33,3.55,scooter,1,Available,12.94266,77.627032,1054,Bengaluru
D00101,Dhruv,Chadha,+912398983065,21,4.77,scooter,0,On Delivery,12.992242,77.562364,660,Bengaluru
D00102,Bachittar,More,+914184724264,25,4.19,motorcycle,1,Available,12.916218,77.641013,283,Bengaluru
D00103,Rushil,Srinivas,+912487623039,42,3.42,motorcycle,0,Available,12.973972,77.702238,3217,Bengaluru
D00104,Samesh,Rout,+918522823052,44,3.81,motorcycle,0,On Delivery,12.909158,77.594362,242,Bengaluru
D00105,Balhaar,Dass,+919594737213,25,4.35,scooter,0,Available,12.927998,77.556734,1555,Bengaluru
D00106,Nathan,Borah,+917688687859,38,4.42,scooter,2,On Delivery,12.910823,77.582231,1039,Bengaluru
D00107,Umang,Shukla,+910319541966,32,4.36,motorcycle,0,Available,12.878875,77.673276,823,Bengaluru
D00108,Orinder,Dave,+912792463203,34,4.0,motorcycle,1,On Delivery,12.951942,77.502422,1915,Bengaluru
D00109,Gavin,Dayal,+912145057661,39,4.06,motorcycle,2,On Delivery,13.018395,77.566232,175,Bengaluru
D00110,Tarak,Thakkar,+914820128400,36,4.28,motorcycle,2,Available,12.90831,77.540058,1846,Bengaluru
D00111,Ayaan,Dash,+915089177680,41,3.95,scooter,2,On Delivery,12.935962,77.579317,2082,Bengaluru
D00112,Faraj,Modi,+916574223196,28,4.56,motorcycle,0,Available,12.931546,77.625033,59,Bengaluru
D00113,Fitan,Edwin,+912689430120,28,3.39,scooter,0,Available,12.91858,77.586572,688,Bengaluru
D00114,Neel,Kar,+917595749885,40,4.66,scooter,2,Available,13.004739,77.677699,2803,Bengaluru
D00115,Oscar,Venkataraman,+913306745847,43,4.5,bicycle,0,Offline,12.900091,77.626204,1240,Bengaluru
D00116,Lucky,Brar,+913337218856,43,3.39,motorcycle,2,Available,12.90996,77.661319,342,Bengaluru
D00117,Jeremiah,Hegde,+915066626705,31,4.37,motorcycle,0,On Delivery,12.945598,77.696647,2024,Bengaluru
D00118,Laksh,Dass,+913439252959,32,4.12,electric_scooter,0,Available,12.946137,77.571013,3271,Bengaluru
D00119,Max,Walla,+912007202455,41,3.98,scooter,0,Available,12.85174,77.597215,1278,Bengaluru
D00120,Chakradhar,Thakkar,+911090326714,38,4.21,motorcycle,2,Available,12.974199,77.575853,2519,Bengaluru
D00121,Frado,Dube,+918179340652,42,4.38,motorcycle,1,Available,12.825445,77.675493,2094,Bengaluru
D00122,Frederick,Nazareth,+916634533722,21,3.97,motorcycle,2,Offline,12.831646,77.685226,614,Bengaluru
D00123,Ansh,Balakrishnan,+915593766189,29,4.13,bicycle,0,Offline,12.989729,77.734944,2697,Bengaluru
D00124,Banjeet,Bath,+915100462776,45,3.8,scooter,1,On Delivery,12.972968,77.636432,3351,Bengaluru
D00125,Kevin,Kade,+919202461752,21,3.51,electric_scooter,0,On Delivery,13.000011,77.564295,2038,Bengaluru
D00126,Sathvik,Balasubramanian,+916005595501,35,3.14,scooter,2,Available,12.941992,77.684231,615,Bengaluru
D00127,Yuvraj,Mann,+916899936079,37,4.19,motorcycle,1,Available,12.997414,77.570311,1372,Bengaluru
D00128,Matthew,Subramanian,+911767993593,34,3.8,motorcycle,2,Offline,12.931493,77.629582,3355,Bengaluru
D00129,Jason,Ravi,+913037360601,45,4.16,electric_scooter,2,On Delivery,12.965837,77.700583,2248,Bengaluru
D00130,Manthan,Setty,+914907938841,27,4.23,bicycle,1,On Delivery,13.081154,77.611042,1355,Bengaluru
D00131,Balhaar,Bhasin,+913701242446,25,4.12,electric_scooter,0,On Delivery,12.909603,77.57121,1490,Bengaluru
D00132,Farhan,Sarraf,+918811210314,25,4.01,motorcycle,1,Available,12.980404,77.741451,2059,Bengaluru
D00133,Sarthak,Sule,+919415152638,28,3.63,scooter,2,On Delivery,12.984708,77.506384,3259,Bengaluru
D00134,Vincent,Jani,+912528837505,32,4.16,scooter,1,Available,12.954757,77.487537,2108,Bengaluru
D00135,Onkar,Dhawan,+919137876553,21,4.46,motorcycle,0,Available,12.983772,77.493494,1465,Bengaluru
D00136,Naksh,Nagar,+915605712198,37,4.86,scooter,2,Available,12.954706,77.641857,2034,Bengaluru
D00137,Orinder,Rastogi,+910534864010,29,3.82,scooter,0,On Delivery,12.980745,77.647736,3351,Bengaluru
D00138,Dhruv,Prabhakar,+916185174460,20,4.79,bicycle,1,Available,12.962571,77.566027,391,Bengaluru
D00139,Chatresh,Nagar,+911455129391,27,4.48,motorcycle,1,On Delivery,12.948056,77.587916,2263,Bengaluru
D00140,Jai,Shukla,+918984841604,33,3.82,motorcycle,1,Available,12.972952,77.51937,223,Bengaluru
D00141,Darsh,Loke,+917075681429,37,4.0,electric_scooter,0,Available,12.91355,77.601759,699,Bengaluru
D00142,Umang,Kota,+911073228360,41,4.07,motorcycle,1,On Delivery,12.913739,77.585961,2999,Bengaluru
D00143,Ekavir,Chatterjee,+919638452696,38,4.24,motorcycle,0,On Delivery,12.984974,77.504706,520,Bengaluru
D00144,Aryan,Mannan,+917016934292,40,4.73,scooter,2,Available,12.893309,77.624834,2922,Bengaluru
D00145,Rehaan,Sahota,+916234190310,33,4.39,motorcycle,0,On Delivery,12.967634,77.6308,612,Bengaluru
D00146,Jeet,Dutta,+915566847323,32,4.26,motorcycle,2,Offline,12.877319,77.58053,2722,Bengaluru
D00147,Nihal,Munshi,+916720078436,23,3.85,electric_scooter,0,Available,12.958697,77.715366,735,Bengaluru
D00148,Girish,Dutta,+918197543734,35,4.35,bicycle,1,Available,13.111262,77.595229,913,Bengaluru
D00149,Zaid,Varma,+913882145841,28,4.26,electric_scooter,2,On Delivery,13.051992,77.577686,3067,Bengaluru
D00150,Vivaan,Tara,+911344389982,40,4.77,motorcycle,2,Available,12.923412,77.577486,90,Bengaluru
D00151,Mitesh,Tank,+917321464493,40,3.8,motorcycle,2,On Delivery,13.00094,77.566787,1471,Bengaluru
D00152,Advay,Chana,+913505573857,27,4.42,motorcycle,2,Available,12.964997,77.754885,322,Bengaluru
D00153,Ronith,Tiwari,+917681187233,26,4.07,motorcycle,0,Available,12.972406,77.73538,2416,Bengaluru
D00154,Veer,Khosla,+919731539114,45,4.28,scooter,2,On Delivery,13.085311,77.587516,3126,Bengaluru
D00155,Hritik,Pandit,+910736511893,38,3.49,motorcycle,1,On Delivery,12.940867,77.70496,1471,Bengaluru
D00156,Arjun,Bedi,+910190432230,43,4.01,motorcycle,0,Available,12.969394,77.512838,1218,Bengaluru
D00157,Lohit,Talwar,+913546212760,25,4.11,motorcycle,2,Available,13.018251,77.594979,3462,Bengaluru
D00158,Wahab,Mangal,+913126163248,42,4.11,scooter,2,On Delivery,13.084841,77.606877,2433,Bengaluru
D00159,Aayush,Chokshi,+918937629745,28,5.0,scooter,2,On Delivery,13.006176,77.616456,3432,Bengaluru
D00160,Tanveer,Desai,+918719120381,37,5.0,motorcycle,2,On Delivery,12.923051,77.616321,3031,Bengaluru
D00161,Kevin,Pau,+913089813881,30,4.84,motorcycle,0,Available,12.912913,77.570992,1370,Bengaluru
D00162,Saksham,Pau,+916732318297,22,3.57,motorcycle,2,On Delivery,12.946347,77.625832,3031,Bengaluru
D00163,Arin,Rattan,+910000001529,22,4.04,motorcycle,0,On Delivery,12.964174,77.491585,3308,Bengaluru
D00164,Atharv,Hayer,+915090255618,40,5.0,motorcycle,1,Available,12.967359,77.765672,358,Bengaluru
D00165,Pratyush,Mani,+917812248905,32,3.7,motorcycle,2,On Delivery,12.973411,77.642714,117,Bengaluru
D00166,Balhaar,Raju,+914365515848,24,3.94,motorcycle,2,Available,12.982368,77.620912,1701,Bengaluru
D00167,Zayyan,Seshadri,+910542960807,21,4.68,motorcycle,0,On Delivery,12.942708,77.584267,2525,Bengaluru
D00168,Logan,Dani,+910982210401,32,4.17,motorcycle,2,Available,12.959301,77.632903,2286,Bengaluru
D00169,Devansh,Chatterjee,+912877383638,40,4.07,motorcycle,1,Available,12.87094,77.677064,2766,Bengaluru
D00170,Ronith,Prakash,+914289464203,33,2.93,scooter,0,Available,12.89726,77.634903,2980,Bengaluru
D00171,Omkaar,Pau,+917064625540,25,4.57,motorcycle,0,On Delivery,12.858636,77.670764,1521,Bengaluru
D00172,Ekbal,Issac,+913017646448,38,4.11,bicycle,2,On Delivery,12.991939,77.543478,102,Bengaluru
D00173,Sai,Tella,+918245279050,29,4.24,scooter,0,Offline,12.960335,77.489359,1203,Bengaluru
D00174,Anmol,Bath,+915384951632,45,4.97,motorcycle,0,On Delivery,12.947286,77.686045,1872,Bengaluru
D00175,Anirudh,Devan,+913391373265,27,4.31,motorcycle,1,Offline,12.860058,77.701744,2972,Bengaluru
D00176,Ojas,Som,+919875617868,43,4.31,electric_scooter,0,Available,12.929848,77.655625,767,Bengaluru
D00177,Vedant,Dixit,+916182980365,35,4.43,scooter,1,Available,12.929414,77.629991,1171,Bengaluru
D00178,Ekaraj,Narang,+916093659520,22,4.24,motorcycle,0,On Delivery,12.960388,77.628691,2164,Bengaluru
D00179,Nathaniel,Gaba,+916875092632,43,3.85,motorcycle,0,On Delivery,12.968975,77.704373,2081,Bengaluru
D00180,Ronith,Mistry,+915561140428,37,4.11,motorcycle,2,Available,12.91374,77.581852,1512,Bengaluru
D00181,Om,Tripathi,+916608112600,26,4.29,electric_scooter,0,On Delivery,12.93895,77.724581,842,Bengaluru
D00182,Yash,Mistry,+911062715312,44,5.0,motorcycle,1,Available,12.998724,77.583082,3358,Bengaluru
D00183,Wazir,Badal,+917682938440,23,3.68,motorcycle,2,Available,13.100863,77.583636,2171,Bengaluru
D00184,Qarin,Narula,+913788260335,39,3.95,scooter,0,Available,13.04701,77.590704,1527,Bengaluru
D00185,Christopher,Saha,+919914492074,38,4.46,electric_scooter,1,On Delivery,13.043444,77.577722,2902,Bengaluru
D00186,Mitesh,Bala,+919964899718,29,3.67,motorcycle,1,On Delivery,12.991751,77.606038,2618,Bengaluru
D00187,Warjas,Lanka,+918499323123,29,4.28,scooter,1,On Delivery,12.976728,77.594214,2303,Bengaluru
D00188,Ishaan,Behl,+918726176072,43,4.26,motorcycle,2,Offline,12.974713,77.648787,2977,Bengaluru
D00189,Wriddhish,Garde,+915382804056,41,3.87,motorcycle,0,Offline,12.9599,77.686216,2329,Bengaluru
D00190,Ranveer,Divan,+912695826418,32,3.6,scooter,1,On Delivery,12.972966,77.600898,308,Bengaluru
D00191,Jairaj,Balay,+912385951434,32,3.53,motorcycle,0,On Delivery,12.897197,77.609377,3176,Bengaluru
D00192,Christopher,Halder,+910027300869,32,4.53,electric_scooter,1,Available,12.853891,77.667876,235,Bengaluru
D00193,Aditya,Sastry,+913950016809,40,4.0,motorcycle,1,On Delivery,12.983148,77.76043,309,Bengaluru
D00194,Naksh,Sahota,+912839762053,40,4.2,motorcycle,0,Offline,12.864256,77.593725,1814,Bengaluru
D00195,Faqid,Sachar,+912662925081,43,5.0,electric_scooter,2,On Delivery,13.039753,77.59263,1952,Bengaluru
D00196,Harsh,Roy,+919914068841,26,4.63,motorcycle,1,Available,12.959524,77.594079,553,Bengaluru
D00197,Zashil,Sinha,+916178170321,22,4.53,scooter,0,Available,12.984515,77.573224,906,Bengaluru
D00198,Azaan,Devi,+915277895613,26,5.0,motorcycle,2,On Delivery,12.968176,77.518007,1267,Bengaluru
D00199,Hemang,Nair,+910264801644,21,4.52,motorcycle,0,On Delivery,12.929402,77.684439,3417,Bengaluru
D00200,William,Vora,+912778221021,35,4.77,electric_scooter,2,On Delivery,12.965734,77.751267,757,Bengaluru
D00201,Raghav,Murthy,+919857973638,27,4.67,electric_scooter,2,Available,12.974931,77.740344,2801,Bengaluru
D00202,Gabriel,Sharaf,+919707986617,35,3.98,scooter,1,Offline,12.986537,77.549539,2043,Bengaluru
D00203,Onveer,Pandya,+910506821223,40,4.55,motorcycle,2,Available,12.975113,77.698131,1621,Bengaluru
D00204,Kevin,Sule,+915871469218,40,3.27,scooter,0,Available,13.019938,77.689142,2347,Bengaluru
D00205,Gopal,Koshy,+910898436998,29,3.55,scooter,0,Offline,12.923896,77.579717,529,Bengaluru
D00206,Liam,Misra,+919386948424,39,4.38,motorcycle,2,On Delivery,12.992435,77.652735,2277,Bengaluru
D00207,Isaiah,Mishra,+918707152386,34,3.8,motorcycle,0,On Delivery,12.940741,77.696261,2699,Bengaluru
D00208,Maanas,Johal,+914619177987,32,4.78,motorcycle,2,On Delivery,12.888849,77.587823,1797,Bengaluru
D00209,Yash,Nadig,+918937085806,40,4.34,motorcycle,2,On Delivery,12.861289,77.70042,1520,Bengaluru
D00210,Wriddhish,Palla,+915669579001,25,3.98,motorcycle,2,Available,12.98622,77.656121,3067,Bengaluru
D00211,Laksh,Mani,+917963259423,40,4.45,bicycle,2,On Delivery,13.004299,77.546733,2369,Bengaluru
D00212,Darsh,Raghavan,+913389156241,41,4.76,scooter,1,Available,12.937281,77.688612,3129,Bengaluru
D00213,Rudra,Pai,+916292693358,39,4.73,scooter,1,Available,12.999097,77.573286,2076,Bengaluru
D00214,Elijah,Mannan,+915078468509,30,5.0,scooter,2,Available,12.972197,77.745549,1081,Bengaluru
D00215,Ansh,Mani,+918911797203,36,3.47,electric_scooter,1,On Delivery,12.939404,77.689665,1112,Bengaluru
D00216,Balveer,Pal,+916415471553,23,3.48,motorcycle,0,Available,12.96184,77.635369,888,Bengaluru
D00217,Timothy,Kunda,+916750094214,44,3.84,scooter,0,On Delivery,13.099534,77.610135,736,Bengaluru
D00218,Wriddhish,Kala,+911987809270,28,4.14,motorcycle,0,On Delivery,13.031117,77.598168,2167,Bengaluru
D00219,Harrison,Yohannan,+915866059867,37,4.34,motorcycle,1,Offline,12.975158,77.632633,576,Bengaluru
D00220,Krishna,Magar,+914859655942,36,4.43,motorcycle,2,Offline,12.933844,77.547208,349,Bengaluru
D00221,Ekapad,Chopra,+910024539313,24,4.84,scooter,0,On Delivery,12.893624,77.612192,1309,Bengaluru
D00222,Jagdish,Kibe,+917083682144,29,4.94,electric_scooter,2,On Delivery,12.899934,77.631859,1590,Bengaluru
D00223,Aryan,Wali,+913677462025,36,4.99,bicycle,2,Available,12.991598,77.60967,1520,Bengaluru
D00224,Isaiah,Kaul,+918328123123,39,5.0,motorcycle,2,Available,12.828266,77.695348,1258,Bengaluru
D00225,Atharv,Chaudhry,+913647238750,37,4.42,motorcycle,1,On Delivery,12.959304,77.614786,2902,Bengaluru
D00226,Samuel,Narayanan,+912577545847,24,4.21,motorcycle,2,Offline,12.918206,77.625978,1342,Bengaluru
D00227,Warinder,Chaudhry,+917683160827,23,4.32,scooter,0,Available,12.935544,77.584237,2825,Bengaluru
D00228,Ekapad,Ahluwalia,+913992052229,38,3.47,electric_scooter,0,On Delivery,12.904533,77.621588,711,Bengaluru
D00229,Farhan,Ray,+914388232553,45,3.83,scooter,2,Available,12.979112,77.761876,2287,Bengaluru
D00230,Wazir,Sood,+917732643095,28,3.65,electric_scooter,2,On Delivery,12.830571,77.661886,3184,Bengaluru
D00231,Harish,Mani,+919702927120,30,4.43,motorcycle,2,On Delivery,12.930049,77.555801,2168,Bengaluru
D00232,Naveen,Mangal,+915298832201,24,4.69,scooter,1,On Delivery,12.934351,77.535369,2984,Bengaluru
D00233,Ayushman,Chakraborty,+918797888975,41,4.49,motorcycle,2,On Delivery,12.980319,77.627731,1534,Bengaluru
D00234,Jack,Warrior,+918600304436,40,3.94,motorcycle,2,Offline,13.005573,77.681886,2360,Bengaluru
D00235,Anirudh,Gill,+913910292950,22,4.35,motorcycle,1,Available,12.974579,77.538656,3020,Bengaluru
D00236,Sathvik,Goda,+913096713971,39,3.94,bicycle,0,Available,12.849114,77.691083,2603,Bengaluru
D00237,Andrew,Ranganathan,+917672019111,32,4.75,motorcycle,0,Offline,12.94007,77.568422,181,Bengaluru
D00238,Yug,Grewal,+912587339304,38,5.0,motorcycle,1,Available,12.9745,77.731177,2206,Bengaluru
D00239,Maanav,Barad,+918124211408,41,4.85,motorcycle,2,Available,12.941613,77.622714,1390,Bengaluru
D00240,Aayush,Misra,+912294620935,31,3.56,scooter,0,On Delivery,12.938257,77.617566,3024,Bengaluru
